Table 41.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIENS REMOVED BY CRIMINAL STATUS AND REGION AND COUNTRY OF NATIONALITY: FISCAL YEARS 2006 TO 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of nationality,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,
,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,6,D,D,7,-,7,10,-,10,14,D,D,8,D,D,7,4,3,5,-,5,5,D,D,5,-,5,6,D,D,
Kyrgyzstan,D,D,D,4,D,D,10,3,7,10,D,D,13,4,9,10,D,D,15,D,D,8,3,5,21,D,D,6,D,D,
Laos,12,D,D,19,D,D,20,5,15,21,D,D,14,D,D,17,4,13,11,3,8,9,3,6,D,-,D,D,D,D,
Latvia,19,4,15,19,3,16,23,7,16,30,4,26,33,5,28,41,14,27,21,11,10,39,10,29,29,21,8,32,22,10,
Lebanon,154,36,118,128,33,95,108,24,84,144,35,109,167,60,107,93,37,56,66,29,37,40,18,22,52,30,22,43,19,24,
Liberia,64,39,25,69,43,26,26,10,16,51,22,29,47,26,21,40,28,12,26,10,16,41,36,5,19,14,5,9,3,6,
Lithuania,63,15,48,77,14,63,69,13,56,72,14,58,66,17,49,47,20,27,40,23,17,41,26,15,28,17,11,18,11,7,
Macedonia,38,7,31,34,8,26,60,8,52,49,11,38,45,13,32,33,11,22,30,9,21,16,7,9,12,D,D,9,D,D,
Malaysia,66,8,58,65,21,44,52,11,41,59,15,44,53,18,35,38,9,29,30,12,18,22,10,12,21,12,9,16,9,7,
Mali,24,3,21,35,4,31,33,7,26,23,3,20,35,4,31,23,4,19,14,5,9,10,3,7,19,8,11,6,D,D,
Marshall Islands,D,D,-,10,10,-,15,D,D,11,D,D,16,16,-,20,D,D,21,D,D,24,24,-,31,31,-,21,21,-,
Mauritania,46,3,43,21,4,17,24,D,D,18,D,D,19,-,19,21,D,D,10,D,D,7,D,D,5,D,D,5,D,D,
Mexico,"186,726","73,171","113,555","208,996","76,967","132,029","247,263","77,531","169,732","276,595","99,616","176,979","272,629","128,396","144,233","286,972","145,133","141,839","301,676","151,444","150,232","309,807","146,769","163,038","267,649","123,024","144,625","242,456","106,193","136,263",
"Micronesia, Federated States",30,23,7,43,35,8,64,56,8,66,52,14,64,60,4,69,D,D,76,D,D,79,D,D,63,D,D,64,D,D,
Moldova,12,6,6,16,6,10,45,9,36,44,14,30,44,9,35,61,19,42,58,24,34,33,19,14,37,12,25,13,7,6,
Mongolia,48,4,44,46,6,40,50,10,40,48,9,39,53,17,36,77,26,51,55,22,33,24,14,10,24,10,14,20,7,13,
Montenegro,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,10,5,5,12,8,4,18,9,9,10,5,5,9,D,D,
Morocco,90,26,64,88,27,61,61,31,30,95,48,47,77,41,36,63,37,26,58,37,21,46,30,16,41,21,20,28,15,13,
Nepal,30,8,22,43,5,38,46,8,38,55,11,44,57,8,49,50,9,41,38,9,29,41,12,29,33,17,16,20,6,14,
Netherlands,89,47,42,75,36,39,93,29,64,129,29,100,95,27,68,65,24,41,42,27,15,41,22,19,38,22,16,36,23,13,
New Zealand,32,11,21,35,13,22,39,13,26,35,6,29,35,17,18,44,20,24,34,17,17,16,7,9,18,10,8,16,D,D,
Nicaragua,"2,446",592,"1,854","2,307",508,"1,799","2,257",533,"1,724","2,172",620,"1,552","1,903",804,"1,099","1,502",696,806,"1,400",731,669,"1,346",695,651,"1,296",637,659,914,436,478,
Niger,30,8,22,40,20,20,39,7,32,31,9,22,24,6,18,11,3,8,16,7,9,7,3,4,8,5,3,6,D,D,
Nigeria,418,202,216,435,241,194,435,209,226,424,222,202,369,184,185,361,167,194,303,162,141,349,137,212,452,124,328,580,104,476,
Norway,15,5,10,9,4,5,20,4,16,30,D,D,15,4,11,7,D,D,10,D,D,5,-,5,D,D,D,D,-,D,
Pakistan,567,94,473,545,112,433,383,74,309,358,73,285,331,78,253,229,75,154,173,61,112,133,41,92,87,45,42,84,29,55,
Palau,11,11,-,6,6,-,10,6,4,14,10,4,11,11,-,13,13,-,15,15,-,16,16,-,15,15,-,10,10,-,
Panama,209,114,95,185,99,86,190,99,91,199,81,118,188,123,65,149,99,50,119,92,27,126,81,45,86,57,29,99,55,44,
Paraguay,59,6,53,49,6,43,40,5,35,47,4,43,40,8,32,25,8,17,19,6,13,22,6,16,18,7,11,20,3,17,
Peru,"1,338",314,"1,024","1,208",295,913,"1,275",337,938,"1,282",365,917,"1,108",419,689,982,459,523,772,414,358,645,319,326,691,326,365,508,206,302,
Philippines,658,260,398,697,278,419,689,280,409,747,269,478,747,326,421,695,340,355,480,292,188,355,218,137,318,202,116,203,127,76,
Poland,450,116,334,410,112,298,498,115,383,595,135,460,550,169,381,426,140,286,413,162,251,223,107,116,190,96,94,173,71,102,
Portugal,146,93,53,124,80,44,158,87,71,206,92,114,184,84,100,148,76,72,136,86,50,81,56,25,63,47,16,40,25,15,
Romania,188,53,135,200,39,161,216,50,166,153,34,119,168,56,112,204,78,126,197,85,112,198,93,105,141,66,75,145,68,77,
