Table 34.,,,,,,,,,,,,,,,,,,,,
ALIENS APPREHENDED BY REGION AND COUNTRY OF NATIONALITY: FISCAL YEARS 2006 TO 2015,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,320,210,691,729,624,596,498,419,303,195,,,,,,,,,,
Tunisia,86,60,53,47,61,43,33,24,46,31,,,,,,,,,,
Turkey,250,221,310,317,326,224,265,216,243,194,,,,,,,,,,
Turkmenistan,6,9,11,20,29,8,10,4,9,11,,,,,,,,,,
Turks and Caicos Islands,D,3,17,11,19,11,19,13,5,7,,,,,,,,,,
Uganda,36,49,59,65,54,66,44,49,28,14,,,,,,,,,,
Ukraine,193,177,403,374,392,393,394,290,183,154,,,,,,,,,,
United Arab Emirates,35,8,4,7,15,3,10,11,9,8,,,,,,,,,,
United Kingdom,302,169,510,486,533,518,448,388,268,213,,,,,,,,,,
Uruguay,110,109,200,221,190,239,144,116,91,44,,,,,,,,,,
Uzbekistan,147,96,157,198,210,135,129,116,109,73,,,,,,,,,,
Venezuela,255,314,750,862,741,575,547,366,280,180,,,,,,,,,,
Vietnam,442,212,"1,343","1,374","1,313","1,413","1,313",875,634,433,,,,,,,,,,
Yemen,64,106,90,82,130,86,69,68,67,71,,,,,,,,,,
Zambia,22,25,45,63,49,49,50,31,27,19,,,,,,,,,,
Zimbabwe,41,44,72,80,74,88,63,48,36,22,,,,,,,,,,
All other countries 3,50,34,79,79,90,64,69,57,41,40,,,,,,,,,,
Unknown,676,65,"1,051",619,962,793,924,722,523,261,,,,,,,,,,
X Not applicable.,,,,,,,,,,,,,,,,,,,,
D Data withheld to limit disclosure.,,,,,,,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,,,,,,,
1 Beginning in 2008 data include administrative arrests conducted by ICE ERO.,,,,,,,,,,,,,,,,,,,,
2 Beginning in 2009 data include administrative arrests conducted by ICE ERO and administrative arrests conducted under the 287(g) program.,,,,,,,,,,,,,,,,,,,,
3 Includes countries with less than 10 aliens apprehended per year.,,,,,,,,,,,,,,,,,,,,
Note: CBP Border Patrol data are current as of October 2015. ICE Enforcement and Removal Operations (ERO) data are current as of October 2015. ICE Homeland Security Investigations (HSI) data are current as of October 2015.,,,,,,,,,,,,,,,,,,,,
Source: U.S. Department of Homeland Security.,,,,,,,,,,,,,,,,,,,,
